#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:AN_MN_pseudomtDNA" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:AN_MN_pseudomtDNA" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:AN_MN_pseudomtDNA" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:AN_MN_pseudomtDNA" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:AN_MN_pseudomtDNA" spec="beast.evolution.tree.Tree">
#                    <trait id="dateTrait.t:AN_MN_pseudomtDNA" spec="beast.evolution.tree.TraitSet" traitname="date-backward">
#                AN_DNK_COA_EN_012=1680,
#AN_DNK_COG_EN_0012=1600,
#AN_DNK_COG_EN_0034=1600,
#AN_DNK_COG_EN_0056=1600,
#AN_DNK_COG_EN_0078=1600,
#AN_DNK_COK_EN_0012=1680,
#AN_DNK_COK_EN_0034=1680,
#AN_DNK_OBM_EN_0012=1400,
#AN_DNK_OBM_EN_0034=1400,
#AN_DNK_OBM_EN_0056=1400,
#AN_DNK_OBM_EN_0078=1400,
#AN_DNK_VIB_EN_0012=1030,
#AN_DNK_VIB_EN_345=1030,
#AN_NLD_KAM_EN_0012=1400,
#AN_NLD_KAM_EN_0034=1700,
#AN_NLD_ZWO_EN_0012=1700,
#MN_CHN_GUA_HS_001=2000,
#MN_CHN_GUA_HS_002=2000,
#MN_CHN_GUA_HS_003=2000,
#MN_CHN_GUA_HS_004=2000,
#MN_CHN_GUA_HS_005=2000,
#MN_CHN_GUA_HS_006=2000,
#MN_CHN_GUA_HS_007=2000,
#MN_CHN_GUA_LM_008=2000,
#MN_CHN_GUA_LM_009=2000,
#MN_CHN_GUA_LM_010=2000,
#MN_CMR_DJA_HS_002=2000,
#MN_DNK_COZ_PH_001=2000,
#MN_DNK_COZ_PH_002=2000,
#MN_ECU_QUI_HS_001=2000,
#MN_ECU_QUI_HS_002=2000,
#MN_ECU_QUI_HS_004=2000,
#MN_ECU_QUI_HS_005=2000,
#MN_ECU_QUI_HS_006=2000,
#MN_ECU_QUI_HS_007=2000,
#MN_ECU_TEL_HS_001=2000,
#MN_ECU_TEL_HS_002=2000,
#MN_ESP_MAL_CG_001=2000,
#MN_ESP_MAL_CG_002=2000,
#MN_HND_OLA_HS_001=2000,
#MN_HND_OLA_HS_002=2000,
#MN_HND_OLA_HS_003=2000,
#MN_HND_OLA_HS_004=2000,
#MN_HND_OLA_HS_005=2000,
#MN_HND_OLA_HS_006=2000,
#MN_HND_OLA_HS_007=2000,
#MN_HND_SAL_HS_001=2000,
#MN_UGA_DK_HS_001=2000,
#MN_UGA_DK_HS_002=2000,
#MN_UGA_DK_HS_003=2000,
#MN_UGA_KAB_HS_001=2000,
#MN_UGA_KAB_HS_002=2000,
#MN_UGA_KAB_HS_003=2000,
#MN_UGA_KAB_HS_004=2000,
#MN_UGA_KAB_HS_005=2000,
#MN_UGA_KAB_HS_006=2000,
#MN_UGA_KAB_HS_007=2000,
#MN_UGA_KAB_HS_008=2000,
#MN_UGA_KAB_HS_009=2000                
#                                    <taxa id="TaxonSet.AN_MN_pseudomtDNA" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.AN_MN_pseudomtDNA"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:AN_MN_pseudomtDNA" jeffreys="true" parameter="@bPopSizes.t:AN_MN_pseudomtDNA" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="MeanRatePrior.c:AN_MN_pseudomtDNA" name="distribution">
#            <parameter id="ucldMean.c:AN_MN_pseudomtDNA" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:AN_MN_pseudomtDNA" name="distribution">
#            <parameter id="ucldStdev.c:AN_MN_pseudomtDNA" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@AN_MN_pseudomtDNA" id="treeLikelihood.AN_MN_pseudomtDNA" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:AN_MN_pseudomtDNA">
#            <siteModel id="SiteModel.s:AN_MN_pseudomtDNA" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:AN_MN_pseudomtDNA" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:AN_MN_pseudomtDNA" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:AN_MN_pseudomtDNA" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:AN_MN_pseudomtDNA" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:AN_MN_pseudomtDNA" id="RelaxedClock.c:AN_MN_pseudomtDNA" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:AN_MN_pseudomtDNA">
#                <LogNormal S="@ucldStdev.c:AN_MN_pseudomtDNA" id="LogNormalDistributionModel.c:AN_MN_pseudomtDNA" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="116" id="rateCategories.c:AN_MN_pseudomtDNA" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-33879.255971513434	-33601.72715583155	-277.52881568188667	-33601.72715583155	988.0675219814859	0.7938920061711275	4.044503507005027	3.063419419790975E-5	0.725955644280812	9.098919699951557	-236.57189344955367	3109.361906551869	107.38802358334648	5.936448617541004	21.392541932454083	9.537765550892109	4	9	8	15	22
1000	-33874.70008926011	-33597.28748738124	-277.41260187887445	-33597.28748738124	986.5105139058982	0.7938920061711275	4.044503507005027	3.159184379529228E-5	0.7259062032483918	9.163258389217527	-237.98671103756465	1781.2995835321344	109.91415666051341	4.849266334183456	17.356260947124436	7.385421450088291	5	8	8	14	23
2000	-33886.79355554831	-33605.62153343206	-281.1720221162571	-33605.62153343206	986.8296678416511	0.7938920061711275	4.044503507005027	3.187846974700005E-5	0.7259844063701306	9.142894629070728	-240.8364108632682	2875.645563020035	133.36841139036255	7.669740175395452	20.54136534227437	9.446295294724644	6	7	9	9	27
3000	-33896.27379602543	-33614.974805282545	-281.29899074288556	-33614.974805282545	985.9985073966986	0.8242005275292842	4.044503507005027	3.200594076219893E-5	0.7824814354062717	9.146437166970026	-242.8897868416735	1943.2569930669652	114.27409346156308	8.369926728143824	13.573051342791643	11.227858282801318	5	7	12	10	24
4000	-33878.09578022884	-33598.97171958986	-279.124060638976	-33598.97171958986	986.995995587927	0.8242005275292842	4.044503507005027	3.20559792375535E-5	0.7824981244204038	9.16935017380718	-239.33570532460888	1373.336864732466	137.24454464361608	10.714381230913867	31.252959933236337	9.227544979235422	5	7	20	2	24
5000	-33860.92793550505	-33588.43111102198	-272.49682448307345	-33588.43111102198	987.6796396201051	0.8242005275292842	4.044503507005027	3.0776522148952823E-5	0.7824778496940037	9.15021112589611	-233.93093861726322	1905.8544298999366	39.07547245080973	8.814887005839413	22.65373186455273	10.63602765002988	4	10	15	7	22
6000	-33871.042454561095	-33601.001867038554	-270.0405875225441	-33601.001867038554	989.014673064833	0.8242005275292842	4.044503507005027	3.0222746196396214E-5	0.782388519200187	9.176797540171679	-232.10567408990525	1836.2397795011218	44.34140615993657	13.868897579378185	21.22066907364491	7.378144610491793	4	10	15	6	23
7000	-33878.51536540115	-33604.594725684896	-273.9206397162527	-33604.594725684896	988.9800650860798	0.8242005275292842	4.044503507005027	3.0848120398022254E-5	0.7824070043853857	9.198753009875961	-235.56019642858885	978.5991986100222	91.54303858583854	5.769132787014404	20.21586641588301	8.874198316506721	6	6	13	10	23
8000	-33874.14897177172	-33602.9049354899	-271.244036281815	-33602.9049354899	986.503056169013	0.8242005275292842	4.044503507005027	3.118522818843935E-5	0.7824090714308877	9.200198489395765	-230.78369432640213	1618.038883612263	109.5780684234108	7.198216774104711	28.95033674345605	8.058058426000022	6	7	15	7	23
9000	-33887.21617200088	-33609.81832795341	-277.39784404746865	-33609.81832795341	985.5120578757814	0.8242005275292842	4.044503507005027	3.103746214181313E-5	0.782386934511027	9.188135939286559	-233.1452631848461	1399.4615687709857	80.59254771581105	4.498378953961737	39.04570466513258	7.846824622352198	8	5	17	6	22
10000	-33865.80105476127	-33596.499761266896	-269.3012934943766	-33596.499761266896	985.5120578757814	0.8242005275292842	4.044503507005027	3.101371043626338E-5	0.7823896867292076	9.238913829216477	-231.41520257945862	901.842374673907	39.13340935165325	5.304239090531515	21.591407340796785	8.791674530191269	7	6	17	5	23
11000	-33864.81630704622	-33594.45991503176	-270.35639201445565	-33594.45991503176	986.5660814716175	0.8970970411998962	4.044503507005027	3.3081155034314634E-5	0.9269097653710169	9.23922214866031	-232.39810833521042	1213.6552475582027	41.32091783617765	8.9236219351218	25.515606347988747	7.24849611886998	7	7	16	4	24
12000	-33877.27608294723	-33607.04359505608	-270.23248789114973	-33607.04359505608	982.3632575150001	0.8970970411998962	4.044503507005027	3.5170236591465823E-5	0.9268710495800263	9.202359024539517	-231.47944800228072	1137.7589795105753	57.954187015959896	3.9655405065912226	17.926171086596813	9.021947246191775	7	6	16	7	22
13000	-33874.49586443244	-33604.59032107009	-269.90554336235397	-33604.59032107009	983.2399582284718	0.8970970411998962	4.044503507005027	3.373410430816909E-5	0.9268991068388849	9.226560172822422	-231.4278283681742	1089.6470973709952	64.7071897177334	4.170086384535696	17.957297497476894	6.499204011514488	7	6	15	10	20
14000	-33866.16311690805	-33600.81815972782	-265.34495718022924	-33600.81815972782	981.3782316148461	0.843423187859378	4.044503507005027	3.1167845932894204E-5	0.8193141392579814	9.238607630247039	-227.5715828763571	1648.0587885949383	38.983514308853756	4.54039791163151	14.74233340829973	7.253556483586533	6	7	14	11	20
15000	-33866.69342183292	-33595.88538043982	-270.80804139310067	-33595.88538043982	982.8028577203095	0.843423187859378	4.044503507005027	3.1748795532261866E-5	0.8193187233736566	9.243286264651513	-232.16748152646207	3150.085357239213	40.7971423147584	6.5555324788426415	14.415447750484713	9.912604305513877	5	7	16	12	18
16000	-33860.67267392459	-33587.325313024674	-273.34736089992066	-33587.325313024674	984.461355983509	0.843423187859378	4.044503507005027	3.277646224081083E-5	0.8193035518095794	9.232009987295578	-234.72546624622717	2049.1226804596663	81.22237787465674	8.650485310108605	18.2660412853808	8.060575691104875	5	9	15	16	13
17000	-33858.73198939329	-33590.54048770018	-268.1915016931053	-33590.54048770018	983.5243022942198	0.843423187859378	4.044283255128951	3.347298551613925E-5	0.8198425995200741	9.27634513019492	-231.34187763758982	1109.7113724468181	52.155360247924	5.86374414562743	13.874930130761992	10.198713305063414	5	8	14	16	15
18000	-33861.661233060804	-33591.55111199596	-270.1101210648407	-33591.55111199596	984.0965386354737	0.843423187859378	4.044283255128951	3.169255464638311E-5	0.8198511505367584	9.277030782226046	-232.25352741111666	1636.3782282095958	46.255532237162406	8.240343520734685	17.848679581432318	11.537659558241934	5	7	12	15	19
19000	-33862.59999017527	-33593.60292116201	-268.99706901326397	-33593.60292116201	982.342683777514	0.843423187859378	4.045375596316733	3.0934960634426246E-5	0.8173402163381737	9.30159918302856	-230.15691762941353	1280.1927094817604	86.87348796668572	5.650563446238293	20.026736263125567	8.914625582902872	5	8	14	13	18
20000	-33863.125403329854	-33592.59864179821	-270.5267615316372	-33592.59864179821	982.342683777514	0.843423187859378	4.045375596316733	3.181374094053337E-5	0.8173195882049886	9.251004325313884	-231.00419863800653	2722.940788862714	36.17014042413319	5.760052988915273	20.718575122384408	7.227467427218172	5	8	14	13	18
21000	-33850.259245022775	-33582.906979222156	-267.35226580061874	-33582.906979222156	980.8267319439051	0.843423187859378	4.045375596316733	3.12396889110769E-5	0.817316903473984	9.249036554560975	-229.49966989650483	2046.0936761258904	60.85697861997459	6.6826172096705925	13.522188390221386	8.3122483069772	5	9	10	13	21
22000	-33856.59591719377	-33586.74118213415	-269.854735059619	-33586.74118213415	980.8267319439051	0.843423187859378	4.045375596316733	3.13128559873829E-5	0.8172855086911422	9.224433770717948	-230.60740870191066	2303.5391902025435	65.77879439372889	4.2533346814757484	14.943424338103252	9.010708822106638	5	8	12	12	21
23000	-33852.575866584164	-33579.95858867507	-272.61727790909106	-33579.95858867507	980.7541612005031	0.843423187859378	4.045375596316733	3.1854526676451824E-5	0.8172606209236118	9.204418597477988	-234.0931471020944	2613.4585602245443	98.90356921264326	7.508028436568034	12.05762877389138	9.074959480254632	5	8	14	11	20
24000	-33856.53878430879	-33580.49039233189	-276.0483919768974	-33580.49039233189	980.7541612005031	0.843423187859378	4.045375596316733	3.195414588184787E-5	0.8172230904189424	9.14786848313441	-236.09074764668327	5348.13664957942	137.548071707808	11.880014272616421	10.852065584710777	8.299525483906242	4	9	17	8	20
25000	-33857.55188185784	-33587.130673905136	-270.4212079527093	-33587.130673905136	980.9691730613731	0.8454186993803661	4.045375596316733	3.14997019039198E-5	0.8210972318674155	9.165174937142064	-230.7738938522941	4879.806096268012	72.38312582636931	4.086077712677915	10.20585636341848	8.827774626393987	4	9	11	10	24
26000	-33861.8440098148	-33592.23573120409	-269.6082786107104	-33592.23573120409	981.2235552202078	0.8461049582245814	4.045375596316733	3.143115618529904E-5	0.8224434305757883	9.180081425649817	-229.28234045928295	4652.988393379367	95.25136527248299	6.502632259855169	15.88253268276266	7.864128535167198	4	9	11	14	20
27000	-33863.477902759696	-33594.335337646495	-269.14256511319843	-33594.335337646495	982.829742283705	0.8149264900412081	4.045375596316733	2.9573092173482933E-5	0.7629737524924097	9.240903201596456	-228.604677445375	3129.759165618118	62.55040692768372	6.158419564737864	22.740789857795775	7.6485168489672155	4	9	13	13	19
28000	-33858.499414309976	-33585.41740583472	-273.0820084752587	-33585.41740583472	983.6645101969236	0.8149264900412081	4.045375596316733	3.09233844919075E-5	0.7629356947599638	9.193399403994544	-233.4848087942717	4775.21520690192	53.3221848864413	8.035052232142341	16.48436479341648	5.9956737804809315	4	11	10	19	14
29000	-33854.54240619083	-33581.83798832068	-272.7044178701485	-33581.83798832068	984.6668456345385	0.8149264900412081	4.045375596316733	3.103355764129691E-5	0.7629445825284578	9.205343909103593	-232.7538250958161	3834.3336207214534	56.65079105662271	8.171291872881788	19.430966126915404	11.47628531870119	4	9	10	19	16
30000	-33860.2091113378	-33589.20164797715	-271.00746336065214	-33589.20164797715	984.6668456345385	0.8149264900412081	4.0436505690243365	3.1184318275836504E-5	0.7666908396068299	9.200624478552315	-229.53156707373088	2491.6436876985313	105.18841749901183	2.6385192659530463	14.917594193819328	8.570518265802756	5	8	12	21	12
31000	-33865.232973713224	-33591.70735217671	-273.5256215365184	-33591.70735217671	984.7785463598	0.8149264900412081	4.0436505690243365	3.023006069603088E-5	0.7666964466122331	9.20496677732417	-235.82689760419112	1382.6270687047831	39.200505157290365	6.611321421215437	15.796952728289284	17.711203125256564	5	8	13	22	10
32000	-33856.972157115684	-33586.81116831028	-270.1609888054	-33586.81116831028	985.7157720541516	0.8149264900412081	4.036006602426232	3.059431189391224E-5	0.783476827880688	9.180217396107038	-230.63538102330696	3322.3464051176948	40.425036011664176	2.8991914568284503	11.484523929648681	9.982355841475995	5	8	11	19	15
33000	-33863.28216111788	-33591.272446004856	-272.0097151130263	-33591.272446004856	984.1253983480489	0.7805833785941807	4.036006602426232	3.014439514983328E-5	0.7188413890181925	9.188223993954674	-230.55809174833269	2621.511867487116	117.54836723256696	3.901794051733749	19.616414837175792	6.059218973944246	5	8	9	17	19
34000	-33874.741801657256	-33602.33233353423	-272.40946812302394	-33602.33233353423	982.3186193699005	0.7964972463284035	4.036006602426232	3.0211426060897316E-5	0.7484419940819346	9.18264948700934	-235.0646512486613	1642.7417050245697	123.22272819397354	10.070196897970737	9.885955399084834	7.848894912332831	5	8	11	13	21
35000	-33881.382398868634	-33607.153859697915	-274.2285391707158	-33607.153859697915	982.3186193699005	0.8011481942115408	4.036006602426232	2.9892666700406763E-5	0.7572282785404717	9.201001763345749	-232.66241894397712	2799.2123089871257	69.6632808399812	4.603475723407384	23.448442224167337	9.204340105063519	5	8	13	13	19
36000	-33871.3309509776	-33594.368121259016	-276.9628297185882	-33594.368121259016	983.4771883841286	0.8225326285212962	4.030856622323634	3.117822979683254E-5	0.8098679083655228	9.202536854689122	-239.77986268715202	1604.963148095248	58.106083386646624	19.36557643123286	7.7493880852064905	10.87082499130354	5	8	16	11	18
37000	-33871.17022309407	-33592.51049534386	-278.6597277502155	-33592.51049534386	983.4771883841286	0.8225326285212962	4.032797287928094	2.8871353401554716E-5	0.8054533251054483	9.206096683445024	-240.8183594914601	2070.123242953911	142.48359856197789	12.250631999467766	10.60284046412033	5.764570502615129	5	6	16	8	23
38000	-33868.802595004585	-33591.08399821181	-277.7185967927735	-33591.08399821181	982.6075106727869	0.8225326285212962	4.032797287928094	3.1734529896901096E-5	0.8054755099933846	9.207016202105812	-240.93039742557914	1458.6501316930462	50.42999638926965	14.056282960270844	11.998213042845697	9.858152474218887	6	7	16	4	25
39000	-33865.207274314926	-33589.03366308727	-276.17361122765425	-33589.03366308727	982.1023381531326	0.8469324449131415	4.032797287928094	3.1973267096253155E-5	0.8539697049948234	9.21141813860339	-238.0800121460913	1346.160566204931	139.2362420203081	23.37405206785639	5.3302342098867745	11.952002356235917	5	5	17	4	27
40000	-33873.72374265107	-33594.915038169274	-278.80870448179394	-33594.915038169274	980.77904167779	0.8469324449131415	4.032797287928094	3.327413006072017E-5	0.8539529231717318	9.20183629997777	-240.12233255595336	1447.6645064783486	362.98644968020193	16.078512802611456	8.322651311407805	11.208412184057108	5	5	19	6	23
41000	-33876.3635455533	-33596.3528883395	-280.010657213804	-33596.3528883395	980.77904167779	0.8483640772366664	4.032797287928094	3.37895146606261E-5	0.8568402602463845	9.203200645772062	-241.49189147895015	1049.4735650805947	432.40192586916805	18.417039733103543	6.684708137550303	11.53725592866528	5	6	17	4	26
42000	-33879.261440601105	-33599.863093680084	-279.39834692102335	-33599.863093680084	980.77904167779	0.8483640772366664	4.032797287928094	3.2206165572049136E-5	0.8568312467205766	9.196509310838522	-241.78826965520653	993.5255227429979	270.20292631020334	25.82146636351974	6.905406678557783	8.34991801145113	5	7	17	3	26
43000	-33886.36298888572	-33600.740262703504	-285.62272618221175	-33600.740262703504	981.8095674671537	0.8483640772366664	4.020977294227681	3.4985220181702756E-5	0.8857594853555458	9.10673182775514	-247.0846237850005	1120.0589116690353	171.91251161128233	13.541858460488976	19.68876244172846	18.279123640830747	10	1	16	3	28
44000	-33890.52297279367	-33612.15019942123	-278.3727733724339	-33612.15019942123	981.8095674671537	0.8015346884682883	4.020977294227681	3.363716045515302E-5	0.7906678646965936	9.107519908865282	-242.16795414283732	711.2260686574361	93.28923882992237	16.096751531543337	12.887879305200872	12.210418650998397	10	3	15	5	25
45000	-33871.25436057372	-33599.513135109504	-271.74122546422154	-33599.513135109504	981.7592912688795	0.8310984236467616	4.020977294227681	3.288096923355433E-5	0.8500844615234516	9.11696688048415	-236.89073526356043	524.3565235995447	41.14985037354858	3.804091498398592	8.830088356126542	12.840041754025105	9	4	9	1	35
46000	-33880.16604994421	-33604.717816308614	-275.4482336355918	-33604.717816308614	982.3465815441601	0.8310984236467616	4.020977294227681	3.25504480420362E-5	0.8500969464428336	9.12429103315081	-236.20873840585693	1691.8069316574906	66.60769938578214	4.259775512222559	16.149150375485764	14.52861384091801	7	6	6	5	34
47000	-33868.60217343205	-33592.12189893298	-276.4802744990749	-33592.12189893298	981.8014906553019	0.797056744569593	4.020977294227681	3.173676605548634E-5	0.7818742721959225	9.166195567998201	-238.15599114075889	2111.1034984746734	39.55774964271648	6.097859728630935	15.878804289062963	13.3120144832289	7	7	8	2	34
48000	-33872.23734036281	-33597.498332593976	-274.7390077688297	-33597.498332593976	980.7910724232688	0.8144367497779805	4.020977294227681	3.281632894776273E-5	0.81636495852573	9.190902878933848	-236.6205409772572	1351.289768318049	136.52338901451495	7.7087803662878445	15.87077733650226	9.725332463858818	7	5	8	2	36
49000	-33878.64242915799	-33610.57424876194	-268.0681803960489	-33610.57424876194	980.7910724232688	0.8144367497779805	4.020977294227681	3.280329546779008E-5	0.8163590391733045	9.191201715839892	-233.6403770480296	751.5189424467123	22.33575974086803	3.5974344305056136	7.515419284898511	10.160288744573915	7	7	7	3	34
50000	-33881.589949235815	-33608.64247758434	-272.94747165147726	-33608.64247758434	980.7910724232688	0.8044216406734664	4.000019055595459	3.481856016694695E-5	0.8440534512317751	9.129222560549215	-234.88616156129677	985.2389891797241	32.06830846026198	13.384919257879826	36.930728921169624	11.237615037272255	6	3	11	7	31
51000	-33869.594884080776	-33597.44803788909	-272.14684619168816	-33597.44803788909	980.8297381974103	0.8044216406734664	4.030068232267399	3.3056435915470716E-5	0.7763153041246821	9.161622156171676	-234.674202584089	1788.3730127629672	37.776876906308836	17.85699895044088	12.460181389062935	13.619218130040146	6	3	18	5	26
52000	-33877.50285463034	-33600.57652796892	-276.92632666141196	-33600.57652796892	980.8297381974103	0.8044216406734664	4.030068232267399	3.2565301574617516E-5	0.7763233879661399	9.16572953121923	-238.7665313778782	2988.364696494283	62.30444418514912	8.165493122283253	9.86346547612077	10.858869462937694	6	3	23	1	25
53000	-33891.943086735686	-33619.0740510638	-272.8690356718876	-33619.0740510638	980.8297381974103	0.8044216406734664	4.02587697492641	3.184073240845263E-5	0.7855183690513569	9.159488040213297	-234.88716974525528	3818.3864717273755	20.2482065243715	11.902548373491387	12.500303914031235	8.387093972774059	6	1	23	2	26
54000	-33866.77039216671	-33592.67496467857	-274.0954274881428	-33592.67496467857	980.8297381974103	0.7845789753598649	4.02587697492641	3.2112644295554713E-5	0.7472472338503588	9.1503597089536	-236.7388574875587	2245.35909971586	30.977128203058037	21.810330669868637	9.274696633642897	8.119692191201622	6	7	17	2	26
55000	-33868.807368425696	-33593.16069323119	-275.64667519450654	-33593.16069323119	981.98376677828	0.7575081322865486	4.02587697492641	2.9002570915099472E-5	0.6965719912847426	9.140570220249517	-237.1483019658841	1893.8561926083428	103.52524584581971	22.739144924581133	18.568768406551662	8.681198304279796	6	1	13	5	33
56000	-33866.37486152363	-33588.21691310211	-278.157948421525	-33588.21691310211	986.6102484124418	0.7575081322865486	4.02587697492641	2.877050160867634E-5	0.6965826267503429	9.15533963668868	-239.36687134885463	1182.2716589046233	152.46397730458838	6.7940896442289445	18.485275799801222	13.394546355321133	5	2	4	8	39
