#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:all_pseudoreferences" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:all_pseudoreferences" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:all_pseudoreferences" spec="beast.evolution.tree.Tree">
#                <trait id="dateTrait.t:all_pseudoreferences" spec="beast.evolution.tree.TraitSet" traitname="date">
#                AN_DNK_COA_EN_012=500,
#AN_DNK_COG_EN_0012=500,
#AN_DNK_COG_EN_0034=500,
#AN_DNK_COG_EN_0056=500,
#AN_DNK_COG_EN_0078=500,
#AN_DNK_COK_EN_0012=500,
#AN_DNK_COK_EN_0034=500,
#AN_DNK_OBM_EN_0012=500,
#AN_DNK_OBM_EN_0034=500,
#AN_DNK_OBM_EN_0056=500,
#AN_DNK_OBM_EN_0078=500,
#AN_DNK_VIB_EN_0012=500,
#AN_DNK_VIB_EN_345=0,
#AN_NLD_KAM_EN_0012=0,
#AN_NLD_KAM_EN_0034=0,
#AN_NLD_ZWO_EN_0012=0,
#MN_CHN_GUA_HS_001=0,
#MN_CHN_GUA_HS_002=0,
#MN_CHN_GUA_HS_003=0,
#MN_CHN_GUA_HS_004=0,
#MN_CHN_GUA_HS_005=0,
#MN_CHN_GUA_HS_006=0,
#MN_CHN_GUA_HS_007=0,
#MN_CHN_GUA_LM_008=0,
#MN_CHN_GUA_LM_009=0,
#MN_CHN_GUA_LM_010=0,
#MN_CMR_DJA_HS_002=0,
#MN_DNK_COZ_PH_001=0,
#MN_DNK_COZ_PH_002=0,
#MN_ECU_QUI_HS_001=0,
#MN_ECU_QUI_HS_002=0,
#MN_ECU_QUI_HS_004=0,
#MN_ECU_QUI_HS_005=0,
#MN_ECU_QUI_HS_006=0,
#MN_ECU_QUI_HS_007=0,
#MN_ECU_TEL_HS_001=0,
#MN_ECU_TEL_HS_002=0,
#MN_ESP_MAL_CG_001=0,
#MN_ESP_MAL_CG_002=0,
#MN_HND_OLA_HS_001=0,
#MN_HND_OLA_HS_002=0,
#MN_HND_OLA_HS_003=0,
#MN_HND_OLA_HS_004=0,
#MN_HND_OLA_HS_005=0,
#MN_HND_OLA_HS_006=0,
#MN_HND_OLA_HS_007=0,
#MN_HND_SAL_HS_001=0,
#MN_UGA_DK_HS_001=0,
#MN_UGA_DK_HS_002=0,
#MN_UGA_DK_HS_003=0,
#MN_UGA_KAB_HS_001=0,
#MN_UGA_KAB_HS_002=0,
#MN_UGA_KAB_HS_003=0,
#MN_UGA_KAB_HS_004=0,
#MN_UGA_KAB_HS_005=0,
#MN_UGA_KAB_HS_006=0,
#MN_UGA_KAB_HS_007=0,
#MN_UGA_KAB_HS_008=0,
#MN_UGA_KAB_HS_009=0                
#                                <taxa id="TaxonSet.all_pseudoreferences" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.all_pseudoreferences"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:all_pseudoreferences" name="distribution" x="@birthRate.t:all_pseudoreferences">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:all_pseudoreferences" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:all_pseudoreferences" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.12" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:all_pseudoreferences" name="distribution">
#            <parameter id="kappa.s:all_pseudoreferences" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="UCMeanRatePrior.c:all_pseudoreferences" name="distribution">
#            <parameter id="ucedMean.c:all_pseudoreferences" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.13" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@all_pseudoreferences" id="treeLikelihood.all_pseudoreferences" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:all_pseudoreferences">
#            <siteModel id="SiteModel.s:all_pseudoreferences" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:all_pseudoreferences" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:all_pseudoreferences" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:all_pseudoreferences" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:all_pseudoreferences" kappa="@kappa.s:all_pseudoreferences" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:all_pseudoreferences" id="estimatedFreqs.s:all_pseudoreferences" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:all_pseudoreferences" id="ExponentialRelaxedClock.c:all_pseudoreferences" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:all_pseudoreferences">
#                <Exponential id="Exponential.c:all_pseudoreferences" name="distr">
#                    <parameter id="UCExpLambda.c:all_pseudoreferences" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="116" id="expRateCategories.c:all_pseudoreferences" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	ucedMean	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-22461.696454543537	-22004.38445365693	-457.31200088660614	-22004.38445365693	3163.9488947140926	-452.3500174249187	0.0010865267869484296	16.315870583392385	5.702641169825406E-6	3.857084935580987E-6	3.085171515684282E-11	1.0885095967415384	0.333310097888389	0.16886841387332532	0.14142845785220265	0.356393030386083
1000	-22455.13369580649	-21997.60967140054	-457.52402440595057	-21997.60967140054	3147.3985456744504	-452.34467620439483	0.0010241496236206677	18.027486348911566	5.732476660987232E-6	3.70931729862667E-6	3.010254747094731E-11	1.120386070717895	0.333310097888389	0.16886841387332532	0.14142845785220265	0.356393030386083
2000	-22459.677143985315	-22000.71365184175	-458.9634921435654	-22000.71365184175	3322.4082576197816	-453.7841439420097	0.0011463480287717965	18.027486348911566	5.732476660987232E-6	3.6327847268696196E-6	3.1120099491337946E-11	1.165801905250011	0.333310097888389	0.16886841387332532	0.14142845785220265	0.356393030386083
3000	-22453.865709312515	-21995.259981845516	-458.60572746699904	-21995.259981845516	3449.4343605043355	-453.4263792654433	0.0011728644143065227	18.027486348911566	5.715904424246044E-6	3.806573040230028E-6	3.577220744016221E-11	1.255518346887007	0.333310097888389	0.16886841387332532	0.14142845785220265	0.356393030386083
4000	-22444.16616504568	-21983.44223268464	-460.72393236103954	-21983.44223268464	3256.306293657554	-455.5445841594838	0.0014757268896165097	18.027486348911566	5.715904424246044E-6	3.719795150294467E-6	3.295972123660835E-11	1.249984747866258	0.333310097888389	0.16886841387332532	0.14142845785220265	0.356393030386083
5000	-22451.983084689622	-21992.93395280881	-459.04913188081156	-21992.93395280881	3606.381013475997	-453.8697836792558	0.0012340297317963442	18.027486348911566	5.7846563589161815E-6	3.86839929244414E-6	3.390044411676643E-11	1.2215539664433637	0.333310097888389	0.16688018774591598	0.14142845785220265	0.35838125651349234
6000	-22461.749655146345	-22003.64496062477	-458.1046945215766	-22003.64496062477	3646.90798446925	-452.9253463200209	9.694678479298756E-4	18.027486348911566	5.88061736509963E-6	3.866960157756587E-6	3.668916312047963E-11	1.1910882752342746	0.333310097888389	0.16688018774591598	0.14142845785220265	0.35838125651349234
7000	-22470.921370088487	-22010.865935279715	-460.05543480877117	-22010.865935279715	3437.2089382998183	-454.8760866072154	9.456974109979348E-4	18.027486348911566	5.74723973899044E-6	3.6756093944108533E-6	3.705392268785805E-11	1.2473939740899407	0.3312678266092274	0.16688018774591598	0.1431594993906582	0.3586924862541984
8000	-22463.16394425828	-22003.172185516712	-459.99175874156606	-22003.172185516712	3761.027715404186	-454.8124105400103	0.001014413759414912	18.027486348911566	5.74723973899044E-6	3.6828594423926006E-6	3.3027275629907864E-11	1.230900329635469	0.3312678266092274	0.16688018774591598	0.1431594993906582	0.3586924862541984
9000	-22473.669335438175	-22013.176637330514	-460.4926981076601	-22013.176637330514	3770.5706257522056	-455.31334990610435	0.0010249686901801609	18.027486348911566	5.74723973899044E-6	3.591839952718996E-6	3.49091015414075E-11	1.2359987264700554	0.3312678266092274	0.16688018774591598	0.1431594993906582	0.3586924862541984
10000	-22456.733326699337	-21997.269377598124	-459.46394910121245	-21997.269377598124	3718.1046918396464	-454.2846008996567	0.0010862959602882098	18.027486348911566	5.9333415807655645E-6	3.7351377161740395E-6	3.609402865198328E-11	1.1528211173605105	0.3312678266092274	0.167247522754928	0.15062847270172186	0.35085617793412277
11000	-22462.200046255708	-22004.167486487455	-458.0325597682542	-22004.167486487455	3328.3104753794582	-452.85321156669846	0.0011697693301155933	18.027486348911566	5.809637786990816E-6	3.5283342425867055E-6	3.408094884014458E-11	1.122995998435903	0.3312678266092274	0.167247522754928	0.15062847270172186	0.35085617793412277
12000	-22457.67611974951	-21998.862772894005	-458.8133468555048	-21998.862772894005	3337.787260539421	-453.63399865394905	0.0010091096755843584	18.027486348911566	5.809637786990816E-6	3.6002502279002457E-6	3.267639418292641E-11	1.1525494643550063	0.3313861985227816	0.16712915084137375	0.15062847270172186	0.35085617793412277
13000	-22454.729814238894	-21995.649500285923	-459.0803139529696	-21995.649500285923	3233.0873692764353	-453.9009657514139	9.139937156505296E-4	18.027486348911566	5.990359059951884E-6	3.75168675883008E-6	3.585298659184397E-11	1.1868667346052577	0.3313861985227816	0.16712915084137375	0.15062847270172186	0.35085617793412277
14000	-22450.43865951091	-21991.78666362001	-458.6519958909008	-21991.78666362001	3205.322839273361	-453.4726476893451	0.001212515418115899	18.027486348911566	5.990359059951884E-6	3.889072500722107E-6	3.33829671056168E-11	1.135689654276029	0.32476414330047454	0.16712915084137375	0.14487053062733676	0.3632361752308149
15000	-22460.45837642227	-22002.341691598154	-458.11668482411517	-22002.341691598154	3167.034347199353	-452.9373366225594	0.00118098742388504	18.027486348911566	5.990359059951884E-6	3.81628689961744E-6	3.345407568821591E-11	1.1614198841045558	0.32476414330047454	0.16712915084137375	0.14487053062733676	0.3632361752308149
16000	-22452.32816597186	-21994.181780430717	-458.14638554114384	-21994.181780430717	3008.9466730649897	-452.9670373395881	0.0010686441084615669	18.027486348911566	5.990359059951884E-6	3.825118145608694E-6	3.635928319977748E-11	1.2144127583208584	0.32476414330047454	0.16712915084137375	0.14487053062733676	0.3632361752308149
17000	-22454.775576824377	-21996.668441107842	-458.1071357165346	-21996.668441107842	3063.4769139669897	-452.92778751497883	0.0012541809995557148	18.027486348911566	5.977625515537221E-6	3.841151103844844E-6	3.7528977791908936E-11	1.1918578398855713	0.32476414330047454	0.16712915084137375	0.14487053062733676	0.3632361752308149
18000	-22455.05527958951	-21993.90736025047	-461.147919339041	-21993.90736025047	3050.114346587781	-455.96031802914257	0.0015890604184903394	18.094873389960647	5.977625515537221E-6	3.932833533189982E-6	3.742014068786241E-11	1.2074936762377486	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
19000	-22449.49030315412	-21991.889661138786	-457.60064201533373	-21991.889661138786	3052.390767952846	-452.4130407054353	0.001307427205368156	18.094873389960647	5.803756768594064E-6	3.838505633630065E-6	3.5587096409917024E-11	1.2364623179183583	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
20000	-22461.69597791689	-22003.87303832421	-457.8229395926807	-22003.87303832421	2960.727929479196	-452.6353382827823	9.702511981636067E-4	18.094873389960647	5.803756768594064E-6	3.905784889736182E-6	3.6522272368468076E-11	1.219242147689326	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
