INDV	POPULATION	O(HOM)	E(HOM)	N_SITES	F	COV
AN_DNK_COA_EN_012	ANCIENT	17291	14892.5	17614	0.88131	0.229
AN_DNK_COG_EN_0012	ANCIENT	3797828	3341850.2	3974046	0.72126	2.954
AN_DNK_COG_EN_0034	ANCIENT	96252	83145.4	98316	0.86395	0.430
AN_DNK_COG_EN_0056	ANCIENT	1021937	888082.3	1052689	0.81318	1.192
AN_DNK_COG_EN_0078	ANCIENT	2826	2442.2	2882	0.87268	0.117
AN_DNK_COK_EN_0012	ANCIENT	264	227.1	266	0.94855	0.051
AN_DNK_COK_EN_0034	ANCIENT	140826	121647.4	144241	0.84885	0.500
AN_DNK_OBM_EN_0012	ANCIENT	92470	79765.7	94438	0.86587	0.429
AN_DNK_OBM_EN_0034	ANCIENT	18517	15953.6	18874	0.87776	0.235
AN_DNK_OBM_EN_0056	ANCIENT	1820	1568.3	1859	0.86585	0.105
AN_DNK_OBM_EN_0078	ANCIENT	221124	191174.8	226344	0.85157	0.598
AN_DNK_VIB_EN_0012	ANCIENT	34	31.4	35	0.72504	0.006
AN_DNK_VIB_EN_345	ANCIENT	4742	4108.4	4842	0.86368	0.137
AN_LTU_VIL_EN_0012	ANCIENT	78	68.5	80	0.82583	0.026
AN_NLD_KAM_EN_0012	ANCIENT	539450	468098.1	553832	0.83225	0.879
AN_NLD_KAM_EN_0034	ANCIENT	2807042	2472987.3	2936484	0.72073	2.236
AN_NLD_ZWO_EN_0012	ANCIENT	890813	776963.8	920203	0.79482	1.111
MN_CHN_GUA_HS_001	CHN	6223570	5563989.5	6667490	0.59772	11.225
MN_CHN_GUA_HS_002	CHN	5930003	5413035.8	6480982	0.48408	8.140
MN_CHN_GUA_HS_003	CHN	6143135	5556816.4	6658111	0.53239	10.514
MN_CHN_GUA_HS_004	CHN	6197770	5467031.5	6549457	0.67509	11.603
MN_CHN_GUA_HS_005	CHN	6216708	5574035.5	6679773	0.58122	13.502
MN_CHN_GUA_HS_006	CHN	6071767	5341901.2	6396586	0.69202	8.472
MN_CHN_GUA_HS_007	CHN	6250423	5507784.9	6599498	0.68025	12.391
MN_HND_OLA_HS_001	HND	6321874	5532252.1	6628671	0.72018	11.616
MN_HND_OLA_HS_002	HND	6357021	5556531.5	6659196	0.72596	12.621
MN_HND_OLA_HS_003	HND	5944704	5323858.1	6374091	0.59115	6.563
MN_HND_OLA_HS_004	HND	6368512	5577987.6	6685552	0.71375	18.113
MN_HND_OLA_HS_005	HND	5117038	4449218.9	5320176	0.76676	4.834
MN_HND_OLA_HS_006	HND	4544928	3933808.2	4702048	0.79548	4.029
MN_HND_OLA_HS_007	HND	5046964	4384417.4	5242304	0.7723	4.240
MN_HND_SAL_HS_001	HND	6261571	5550391.7	6649702	0.64693	10.060
MN_UGA_DK_HS_001	UGA	6126126	5612524.5	6729962	0.45962	24.077
MN_UGA_DK_HS_002	UGA	6249541	5600970.6	6716392	0.58146	22.669
MN_UGA_DK_HS_003	UGA	6280951	5608052.8	6725592	0.60212	17.956
MN_UGA_KAB_HS_001	UGA	6080086	5609245.6	6726037	0.4216	20.681
MN_UGA_KAB_HS_002	UGA	5857696	5318775.3	6369778	0.51277	13.934
MN_UGA_KAB_HS_003	UGA	5871888	5339330.3	6393199	0.50534	7.701
MN_UGA_KAB_HS_004	UGA	5808042	5355447.4	6414509	0.42735	13.716
MN_UGA_KAB_HS_005	UGA	6235614	5587868.3	6699554	0.58267	18.408
MN_UGA_KAB_HS_006	UGA	6121895	5616371.8	6735059	0.45189	31.071
MN_UGA_KAB_HS_007	UGA	5935205	5628364.8	6750911	0.27334	21.195
MN_UGA_KAB_HS_008	UGA	6156440	5487628	6577355	0.61374	16.897
MN_UGA_KAB_HS_009	UGA	5876792	5220272.3	6251012	0.63694	11.884
